,Legacy Xpaths,Components,Styles,Given Components,Given Styles,Match
0,/book, , ,,,FALSE
1,/book/booktitle, , ,,,FALSE
2,/book/booktitle/number, , ,,,FALSE
3,/book/booktitle/title, , ,,,FALSE
4,/book/frontmatter, , ,,,FALSE
5,/book/frontmatter/authors,section,TRContentLevel1,section,TRContentLevel1,TRUE
6,/book/frontmatter/authors/title,section,TRContentLevel1,section,TRContentLevel1,TRUE
7,/book/frontmatter/authors/author,author,TRSubheading,author,TRSubheading,TRUE
8,/book/frontmatter/authors/author/credentials,nameSuffix,TRNormal,nameSuffix,TRNormal,TRUE
9,/book/frontmatter/authors/author/bio,biography,TRNormal,biography,TRNormal,TRUE
10,/book/frontmatter/authors/author/name,fullName,TRNormal / TRSubheading,fullName,TRNormal / TRSubheading,TRUE
11,/book/frontmatter/concept,section,TRContentLevel1,section,TRContentLevel1,TRUE
12,/book/frontmatter/concept/title,section,TRContentLevel1,section,TRContentLevel1,TRUE
13,/book/frontmatter/concept/conbody,section,TRContentLevel1,paragraph,TRNormal,FALSE
14,/book/frontmatter/concept/conbody/p,paragraph,TRNormal,paragraph,TRNormal,TRUE
15,/book/frontmatter/concept/conbody/p/exreflink,paragraph,TRNormal,paragraph,TRNormal,TRUE
16,/book/frontmatter/concept/conbody/p/exreflink/marker,paragraph,TRNormal,paragraph,TRNormal,TRUE
17,/book/frontmatter/concept/conbody/p/irclink,paragraph,TRNormal,paragraph,TRNormal,TRUE
18,/book/frontmatter/concept/conbody/p/irclink/marker,paragraph,TRNormal,paragraph,TRNormal,TRUE
19,/book/frontmatter/concept/conbody/p/i,paragraph,TRNormal,paragraph,TRNormal,TRUE
20,/book/conceptgroup, , ,,,FALSE
21,/book/conceptgroup/concept,section,TRContentLevel1,section,TRContentLevel1,TRUE
22,/book/conceptgroup/concept/shortdesc,note,TRNote,note,TRNote,TRUE
23,/book/conceptgroup/concept/shortdesc/i,note,TRNote,note,TRNote,TRUE
24,/book/conceptgroup/concept/shortdesc/ircpriorlink,note,TRNote,note,TRNote,TRUE
25,/book/conceptgroup/concept/shortdesc/ircpriorlink/marker,note,TRNote,note,TRNote,TRUE
26,/book/conceptgroup/concept/shortdesc/treglink,note,TRNote,note,TRNote,TRUE
27,/book/conceptgroup/concept/shortdesc/treglink/marker,note,TRNote,note,TRNote,TRUE
28,/book/conceptgroup/concept/shortdesc/irclink,note,TRNote,note,TRNote,TRUE
29,/book/conceptgroup/concept/number,section,TRContentLevel1,section,TRContentLevel1,TRUE
30,/book/conceptgroup/concept/title,section,TRContentLevel1,section,TRContentLevel1,TRUE
31,/book/conceptgroup/concept/collapseBody,section,TRContentLevel1,section,TRContentLevel1,TRUE
32,/book/conceptgroup/concept/collapseBody/conceptpart,section,TRContentLevel2,section,TRContentLevel2,TRUE
33,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept,section,TRContentLevel3,section,TRContentLevel3,TRUE
34,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody,section,TRContentLevel3,section,TRContentLevel3,TRUE
35,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/example,example,TRExample,example,TRExample,TRUE
36,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/example/p,example,TRExample,example,TRExample,TRUE
37,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/example/p/fn,footnote,Footnote Text,footnote,Footnote Text,TRUE
38,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/example/p/fn/strulink,footnote,Footnote Text,footnote,Footnote Text,TRUE
39,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/example/p/fn/strulink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
40,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/example/p/fn/momlink,footnote,Footnote Text,footnote,Footnote Text,TRUE
41,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/example/p/fn/momlink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
42,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/example/title,example,TRExample,example,TRExample,TRUE
43,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/ul,list,TRNormal,list,TRNormal,TRUE
44,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/ul/li,list,TRNormal,list,TRNormal,TRUE
45,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/ul/li/sttxlink,list,TRNormal,list,TRNormal,TRUE
46,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/ul/li/sttxlink/marker,list,TRNormal,list,TRNormal,TRUE
47,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/ul/li/irclink,list,TRNormal,list,TRNormal,TRUE
48,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/ul/li/irclink/marker,list,TRNormal,list,TRNormal,TRUE
49,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/ul/li/fn,footnote,Footnote Text,footnote,Footnote Text,TRUE
50,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/ul/li/fn/sttxlink,footnote,Footnote Text,footnote,Footnote Text,TRUE
51,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/ul/li/fn/sttxlink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
52,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/ul/li/fn/momlink,footnote,Footnote Text,footnote,Footnote Text,TRUE
53,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/ul/li/fn/momlink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
54,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/ul/li/xref,list,TRNormal,list,TRNormal,TRUE
55,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/ul/li/xref/marker,list,TRNormal,list,TRNormal,TRUE
56,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/note,note,TRNote,note,TRNote,TRUE
57,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/note/p,note,TRNote,note,TRNote,TRUE
58,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/note/p/i,note,TRNote,note,TRNote,TRUE
59,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/note/p/sttxlink,note,TRNote,note,TRNote,TRUE
60,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/note/p/sttxlink/marker,note,TRNote,note,TRNote,TRUE
61,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/note/p/plcitelink,note,TRNote,note,TRNote,TRUE
62,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/note/p/plcitelink/marker,note,TRNote,note,TRNote,TRUE
63,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/note/p/b,note,TRNote,note,TRNote,TRUE
64,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/note/p/irclink,note,TRNote,note,TRNote,TRUE
65,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/note/p/irclink/marker,note,TRNote,note,TRNote,TRUE
66,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/note/p/exreflink,note,TRNote,note,TRNote,TRUE
67,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/note/p/exreflink/marker,note,TRNote,note,TRNote,TRUE
68,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/note/p/fn,footnote,Footnote Text,footnote,Footnote Text,TRUE
69,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/note/p/fn/plcitelink,footnote,Footnote Text,footnote,Footnote Text,TRUE
70,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/note/p/fn/plcitelink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
71,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/note/p/fn/case,footnote,Footnote Text,footnote,Footnote Text,TRUE
72,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/note/p/fn/case/casepart,footnote,Footnote Text,footnote,Footnote Text,TRUE
73,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/note/p/fn/case/casepart/casedisplay,footnote,Footnote Text,footnote,Footnote Text,TRUE
74,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/note/p/fn/case/casepart/casedisplay/cslink,footnote,Footnote Text,footnote,Footnote Text,TRUE
75,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/note/p/fn/case/casepart/casedisplay/cslink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
76,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/note/p/fn/strulink,footnote,Footnote Text,footnote,Footnote Text,TRUE
77,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/note/p/fn/strulink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
78,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/note/p/fn/exreflink,footnote,Footnote Text,footnote,Footnote Text,TRUE
79,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/note/p/fn/exreflink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
80,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/note/p/fn/i,footnote,Footnote Text,footnote,Footnote Text,TRUE
81,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/note/p/fn/irclink,footnote,Footnote Text,footnote,Footnote Text,TRUE
82,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/note/p/fn/irclink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
83,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/note/p/fn/momlink,footnote,Footnote Text,footnote,Footnote Text,TRUE
84,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/note/p/fn/momlink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
85,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/note/p/fn/stformlink,footnote,Footnote Text,footnote,Footnote Text,TRUE
86,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/note/p/fn/stformlink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
87,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/note/p/fn/sttxlink,footnote,Footnote Text,footnote,Footnote Text,TRUE
88,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/note/p/fn/sttxlink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
89,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/note/p/xref,note,TRNote,note,TRNote,TRUE
90,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/note/p/xref/marker,note,TRNote,note,TRNote,TRUE
91,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/ol,list,TRNormal,list,TRNormal,TRUE
92,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/ol/li,list,TRNormal,list,TRNormal,TRUE
93,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/ol/li/sttxlink,list,TRNormal,list,TRNormal,TRUE
94,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/ol/li/sttxlink/marker,list,TRNormal,list,TRNormal,TRUE
95,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/ol/li/ul,list,TRNormal,list,TRNormal,TRUE
96,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/ol/li/ul/li,list,TRNormal,list,TRNormal,TRUE
97,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/ol/li/ul/li/fn,footnote,Footnote Text,footnote,Footnote Text,TRUE
98,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/ol/li/ul/li/fn/sttxlink,footnote,Footnote Text,footnote,Footnote Text,TRUE
99,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/ol/li/ul/li/fn/sttxlink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
100,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/ol/li/note,note,TRNote,note,TRNote,TRUE
101,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/ol/li/note/p,note,TRNote,note,TRNote,TRUE
102,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/ol/li/note/p/irclink,note,TRNote,note,TRNote,TRUE
103,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/ol/li/note/p/irclink/marker,note,TRNote,note,TRNote,TRUE
104,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/ol/li/note/p/sttxlink,note,TRNote,note,TRNote,TRUE
105,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/ol/li/note/p/sttxlink/marker,note,TRNote,note,TRNote,TRUE
106,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/ol/li/note/p/fn,footnote,Footnote Text,footnote,Footnote Text,TRUE
107,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/ol/li/note/p/fn/momlink,footnote,Footnote Text,footnote,Footnote Text,TRUE
108,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/ol/li/note/p/fn/momlink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
109,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/ol/li/note/p/fn/strulink,footnote,Footnote Text,footnote,Footnote Text,TRUE
110,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/ol/li/note/p/fn/strulink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
111,/book/conceptgroup/concept/collapseBody/conceptpart/subconcept/conbody/ol/li/note/p/fn/case,footnote,Footnote Text,footnote,Footnote Text,TRUE
